DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update,Start Date,End Date,Duration (Days),Season
2000-0003-BGD,No,nat-met-ext-col,Natural,Meteorological,3,6,GLIDE:TC-2024-000161,Dengue,BGD,3,Southern Asia,0,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17688193458143095,°C,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,15.0,2000,1.0,16.0,-0.04317614287853842,44.0,22200.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":575,""adm1_name"":""Barisal""},{""adm1_code"":576,""adm1_name"":""Chittagong""},{""adm1_code"":577,""adm1_name"":""Dhaka""},{""adm1_code"":578,""adm1_name"":""Khulna""},{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm1_code"":61362,""adm1_name"":""Rajshahi""},{""adm1_code"":61363,""adm1_name"":""Rangpur""}]",2003-07-01,2023-09-25,2000-01-15,2000-01-16,-0.22918458928740526,1
2000-0009-IRN,No,nat-met-sto-sto,Natural,Meteorological,9,33,GLIDE:TC-2024-000161,Dengue,IRN,14,Southern Asia,0,Gilan province,Heavy rains,Fire,No,No,No,1068.0,-0.17537976988731,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,18.0,2000,1.0,18.0,-0.054493331297753314,44.0,22200.0,5500.0,-0.1063834787368817,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":1545,""adm1_name"":""Gilan""}]",2003-07-01,2023-09-25,2000-01-18,2000-01-18,-0.248165637509339,1
2000-0020-IND,No,nat-met-ext-col,Natural,Meteorological,3,6,GLIDE:TC-2024-000161,Dengue,IND,12,Southern Asia,0,"Bihar, Uttar Pradesh, West Bengal provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,°C,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,15.0,2000,1.0,16.0,0.01242569587673472,44.0,22200.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70073,""adm1_name"":""Bihar""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2003-07-01,2023-09-25,2000-01-15,2000-01-16,-0.22918458928740526,1
2000-0023-BGD,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp0009khm,Dengue,BGD,3,Southern Asia,0,"Maheshkhali area (Cox's Bazar district, Chittagong province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.176909703471023,Moment Magnitude,-0.5124485612692483,-0.41405732626989167,Yangtze river,2000,1.0,2.0,2000,1.0,2.0,-0.051048969604948785,44.0,1000.0,3000.0,-0.10688631165215552,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2011-04-07,2023-09-25,2000-01-02,2000-01-02,-0.248165637509339,1
2000-0033-CHN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp0009m4u,Dengue,CHN,6,Eastern Asia,0,"Yongren Xian, Yao'an Xian, Nanhua Xian, Dayao Xian areas (Chuxiong Yi district, Yunnan Sheng province), Xiangyun Xian area (Dali Bai district, Yunnan Sheng province) ",Heavy rains,"Slide (land, mud, snow, rock)",Yes,No,No,765.0,-0.17688854622181002,Moment Magnitude,0.06062264618180721,0.21461926023923697,Yangtze river,2000,1.0,14.0,2000,1.0,14.0,-0.05350922795695202,2528.0,1760000.0,92479.0,0.10028163162519575,10000000.0,10411641.0,147000.0,199782.0,73500.0,130056.0,56.51429055927763,"[{""adm2_code"":13307,""adm2_name"":""Chuxiong Yi""},{""adm2_code"":13312,""adm2_name"":""Dali Bai""}]",2003-09-09,2023-09-25,2000-01-14,2000-01-14,-0.248165637509339,1
2000-0036-CHN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp0009mq6,Dengue,CHN,6,Eastern Asia,0,"Mile Xian area (Honghe Hani and Yi district, Yunnan Sheng province), Qiubei Xian area (Wenshan Zhuang and Miao district, Yunnan Sheng province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.1769017695025681,Moment Magnitude,-0.12381406426221041,0.39941678604462927,Yangtze river,2000,1.0,26.0,2000,1.0,26.0,-0.05498538296815396,2.0,10300.0,3000.0,-0.10584690014596061,10000000.0,10411641.0,147000.0,199782.0,483.0,855.0,56.51429055927763,"[{""adm2_code"":13308,""adm2_name"":""Honghe Hani and Yi""},{""adm2_code"":13309,""adm2_name"":""Wenshan Zhuang and Miao""}]",2010-03-04,2023-09-25,2000-01-26,2000-01-26,-0.248165637509339,1
2000-0038-PHL,No,nat-hyd-flo-fla,Natural,Hydrological,4,9,GLIDE:TC-2024-000161,Dengue,PHL,31,South-eastern Asia,0,"Agusan del Sur, Agusan del Norte, Surigao del Sur districts (Region XIII province), Davao Oriental, Davao del Norte, Compostela districts (Region XI province)",Brief torrential rain,"Slide (land, mud, snow, rock)",No,No,No,1068.0,0.0438622250821043,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,28.0,2000,2.0,1.0,-0.0429301170433381,44.0,153885.0,3000.0,-0.08980284270734687,10000000.0,10411641.0,147000.0,199782.0,4080.0,7219.0,56.51429055927763,"[{""adm2_code"":24275,""adm2_name"":""Agusan Del Norte""},{""adm2_code"":24276,""adm2_name"":""Agusan Del Sur""},{""adm2_code"":24278,""adm2_name"":""Surigao Del Sur""},{""adm2_code"":24266,""adm2_name"":""Compostela""},{""adm2_code"":24267,""adm2_name"":""Davao del Norte""},{""adm2_code"":24269,""adm2_name"":""Davao Oriental""}]",2004-10-27,2023-09-25,2000-01-28,2000-02-01,-0.17224144462160398,1
2000-0041-CHN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp0009m1j,Dengue,CHN,6,Eastern Asia,0,"Xiuyan Manzu Zizhixian area (Anshan district, Liaoning Sheng province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17689912484641648,Moment Magnitude,2.104110038459985,1.6969874162151208,Yangtze river,2000,1.0,11.0,2000,1.0,11.0,-0.051048969604948785,30.0,44000.0,18000.0,-0.10006677991456406,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":13179,""adm2_name"":""Anshan""}]",2003-09-09,2023-09-25,2000-01-11,2000-01-11,-0.248165637509339,1
2000-0050-MNG,No,nat-met-sto-sto,Natural,Meteorological,9,33,GLIDE:TC-2024-000161,Dengue,MNG,26,Eastern Asia,0,"Bayanxongor, O'mnogovi, Xo'vsgol, Zavxan, O'vorxangai, Uvs, Dundgovi, Govi-Altai, Dornogovi, Bulgan, Bayan-O'lgii, To'v provinces",Heavy rains,Cold wave,Yes,Yes,No,19916.0,-0.17485083865698572,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2000,1.0,15.0,2000,4.0,16.0,-0.05424730546255299,44.0,500000.0,3000.0,-0.05112772838068013,10000000.0,10411641.0,147000.0,199782.0,80000.0,141557.0,56.51429055927763,"[{""adm1_code"":2076,""adm1_name"":""Bayan-O'lgii""},{""adm1_code"":2077,""adm1_name"":""Bayanxongor""},{""adm1_code"":2078,""adm1_name"":""Bulgan""},{""adm1_code"":2082,""adm1_name"":""Dornogovi""},{""adm1_code"":2083,""adm1_name"":""Dundgovi""},{""adm1_code"":2085,""adm1_name"":""Govi-Altai""},{""adm1_code"":2088,""adm1_name"":""Xo'vsgol""},{""adm1_code"":2089,""adm1_name"":""O'mnogovi""},{""adm1_code"":2091,""adm1_name"":""O'vorxangai""},{""adm1_code"":2094,""adm1_name"":""To'v""},{""adm1_code"":2096,""adm1_name"":""Uvs""},{""adm1_code"":2097,""adm1_name"":""Zavxan""}]",2005-07-08,2023-09-25,2000-01-15,2000-04-16,1.4980907989085668,1
2000-0051-IRN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp0009mz6,Dengue,IRN,14,Southern Asia,0,"Kashmar, Bardeskan districts (Khorasan)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17689648019026488,Moment Magnitude,1.3891433260988737,-2.6813756165464433,Yangtze river,2000,2.0,2.0,2000,2.0,2.0,-0.05498538296815396,15.0,1500.0,500.0,-0.10677289489459932,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,56.51429055927763,"[{""adm2_code"":40901,""adm2_name"":""Bardeskan""},{""adm2_code"":40992,""adm2_name"":""Kashmar""}]",2014-03-07,2023-09-25,2000-02-02,2000-02-02,-0.248165637509339,1
