Duration_Days,Economic_Loss_USD,Deaths,Total_Affected,label,Secondary_Disaster
21,957401,274,6352,0,1
4,878008,67,9863,1,0
1,3287061,216,7768,1,1
24,911315,935,8769,0,1
9,3111337,965,4219,0,1
8,2985309,580,9164,1,1
8,2318961,897,288,1,1
5,464488,735,1976,1,1
24,3953935,322,8897,1,1
4,4598207,217,4471,1,1
22,1147117,671,5673,0,1
24,3275376,511,1927,0,1
29,761023,405,4908,0,1
18,4730852,905,7223,0,1
3,2559357,936,2691,1,1
19,3133614,658,7533,0,1
14,4943180,469,153,0,1
2,1713033,146,4415,0,1
1,683470,271,8301,0,0
3,484402,142,3027,0,0
7,2011749,252,8417,0,1
8,2527562,762,1843,0,1
17,769343,574,4989,0,1
20,2052791,551,8417,0,1
1,947261,269,3358,1,0
18,3288729,764,2604,0,1
7,2431811,598,6226,0,1
23,3903481,438,2746,1,1
21,3160434,919,8937,1,1
23,1464441,597,8789,0,1
18,3205303,408,109,0,1
14,3080226,370,9913,1,1
8,1857472,224,5410,0,1
15,2339572,141,8105,1,1
19,698967,521,419,1,1
9,1535615,505,1932,0,1
26,4580690,93,6047,0,1
28,2153622,773,5138,0,1
1,1470719,48,4023,1,1
25,3977719,881,1049,1,1
26,3283102,112,4046,1,1
6,2364486,156,9395,1,1
23,4772033,642,1390,1,1
14,1942265,163,1503,0,1
11,2820280,811,8062,0,1
9,569241,696,1233,0,1
5,2021394,432,8827,1,1
7,369276,610,2160,1,1
25,2746211,65,2203,0,1
11,3465214,394,7887,0,1
