Primary_Disaster_Type,Region,Duration_Days,Economic_Loss_USD,Deaths,Total_Affected,Disaster_Frequency,label
Flood,Rural,8,2562057,462,6835,10,0
Flood,Flood-Prone,24,3747075,123,7751,9,1
Wildfire,Rural,18,1426723,253,987,1,0
Earthquake,Flood-Prone,18,3906110,230,1712,6,1
Earthquake,Urban,9,127223,65,1093,1,0
Earthquake,Coastal,24,2309467,346,6696,1,0
Flood,Coastal,19,4299220,21,5659,10,1
Tornado,Urban,14,1598640,602,1890,8,1
Flood,Rural,29,4358742,567,4173,9,0
Tornado,Coastal,19,992638,235,3239,9,1
Hurricane,Urban,13,2603536,602,3216,3,1
Flood,Coastal,12,4358584,225,8886,1,0
Flood,Mountainous,8,1768587,7,7450,9,1
Flood,Rural,5,1382108,72,2396,2,0
Earthquake,Mountainous,17,3236616,724,7012,3,0
Earthquake,Rural,16,1455171,646,3106,2,1
Tornado,Urban,3,4624639,60,4663,10,0
Tornado,Rural,25,4548929,234,7679,2,0
Flood,Rural,2,104797,69,4192,4,0
Tornado,Urban,28,2819218,927,1335,7,1
Earthquake,Rural,4,4198721,32,7360,2,1
Tornado,Coastal,5,263382,880,9116,10,0
Hurricane,Flood-Prone,21,1038414,338,1704,4,1
Earthquake,Urban,6,3144903,72,928,10,0
Hurricane,Flood-Prone,26,2679615,526,8956,10,1
Tornado,Urban,22,2108671,243,341,1,1
Wildfire,Urban,14,585911,285,1628,10,1
Flood,Mountainous,20,2120577,685,3972,2,0
Earthquake,Mountainous,3,4859334,497,2824,7,0
Hurricane,Rural,13,760662,219,6758,10,1
Wildfire,Flood-Prone,13,818513,552,8056,10,1
Wildfire,Urban,20,4176783,135,7986,9,0
Earthquake,Rural,15,680596,740,3602,6,0
Earthquake,Coastal,17,4568663,957,6670,5,1
Wildfire,Urban,9,1154955,903,1060,4,0
Flood,Coastal,18,1177025,584,2797,6,1
Flood,Rural,28,4086957,590,6309,4,0
Hurricane,Mountainous,1,4712086,484,135,5,1
Flood,Rural,22,1485185,248,6496,7,1
Wildfire,Coastal,24,2323456,803,4445,3,0
Wildfire,Urban,4,4526448,484,7554,5,0
Tornado,Flood-Prone,22,3649538,826,4773,8,0
Wildfire,Rural,29,1876692,416,7030,6,0
Flood,Urban,18,4623943,194,9205,2,0
Hurricane,Mountainous,25,1787377,96,8073,1,1
Tornado,Mountainous,9,2714865,99,2636,8,0
Flood,Mountainous,25,3446989,674,3211,10,1
Hurricane,Urban,21,3232478,441,4961,10,0
Flood,Rural,11,3775049,362,3666,2,0
Tornado,Urban,4,4441740,433,1058,2,1
